metricId;crawlJobId;organizationId;sourceId;dimensions;rawValue;rawLast;avg3d;avg7d;avg15d;avg30d;stddev7d;stddev30d
21;25235;181;435;;0;;;;;;;
3;25239;149;332;;24;24;24;24;24;24;0;0
4;25235;181;435;;31;31;31;31;30.933333333333334;30.96551724137931;0;0.18246560765962694
29;25235;181;435;;100;100;100;100;100;100;0;0
27;25235;181;435;;100;100;100;100;100;100;0;0
31;25235;181;435;;100;100;100;100;100;100;0;0
26;25235;181;435;;0;0;0;0;0;0;0;0
2;25235;181;435;;31;31;31;31;30.933333333333334;30.96551724137931;0;0.18246560765962694
32;25235;181;435;;100;100;100;100;100;100;0;0
28;25235;181;435;;100;100;100;100;100;100;0;0
30;25235;181;435;;100;100;100;100;100;100;0;0
12;25235;181;435;;0;0;0;0;0;0;0;0
13;25234;181;438;"{""proxy_name"": ""ZYTE_PROXY_MODE"", ""spider_name"": ""plp_drogariaspacheco_com_br""}";0;0;0;0;4.266666666666667;3.2;0;13.948476619330155
18;25233;181;430;;100;100;100;77.95142857142856;89.71066666666667;94.67793103448275;25.468303229460638;15.671200992488352
14;25184;181;438;;0;0;0;0;0;0;0;0
10;25184;181;438;;1;1;1;1;1;1;0;0
3;25233;181;430;;409;436;424.6666666666667;384.57142857142856;617.0666666666667;718;243.81776399765528;223.49743499260984
19;25233;181;430;;6;6;6;5.142857142857143;5.6;5.793103448275862;0.989743318610787;0.6090869562984722
15;25239;149;332;;0;;;;;;;
9;25233;181;430;;0;0;0;0;0;0;0;0
20;25233;181;430;;0;0;0;0;0;0;0;0
8;25233;181;430;;100;100;100;57.142857142857146;80;89.65517241379311;49.48716593053935;30.45434781492361
15;25233;181;430;;0;;;;;;;
24;25233;181;430;;0;0;0;0;0;0;0;0
23;25233;181;430;;0;0;0;0;0;0;0;0
22;25233;181;430;;0;0;0;0;0;0;0;0
25;25233;181;430;;0;0;0;0;0;0;0;0
7;25233;181;430;;0;0;0;0;0;0;0;0
5;25233;181;430;;0;0;0;0;0;0;0;0
21;25233;181;430;;0;;;;;;;
4;25233;181;430;;38;38;38;41.42857142857143;39.6;38.827586206896555;3.958973274443148;2.436347825193889
29;25233;181;430;;100;100;100;100;100;100;0;0
27;25233;181;430;;52.25;52.25;53.29;39.92285714285714;46.77933333333333;49.5251724137931;15.148854472755842;9.22867182160917
31;25233;181;430;;100;100;100;100;100;100;0;0
25;25189;166;378;;0;0;0;0;0;0;0;0
16;25189;166;378;;0.06;0;0;0.015714285714285715;0.022000000000000002;15.026499999999999;0.038491981672307087;35.69605864447782
13;25189;166;378;"{""proxy_name"": ""ZYTE"", ""spider_name"": ""pdp_shopee_com_br""}";1.06;4.91;2.7566666666666664;2.307142857142857;1.3913333333333333;0.9;1.2918725532642727;1.1215200144701578
7;25189;166;378;;0;0;0;0;0;0;0;0
35;25189;166;378;;1;1;1;1;1;1;0;0
36;25189;166;378;;2;2;2;2;2;2;0;0
5;25189;166;378;;0;0;0;0;0;0;0;0
14;25189;166;378;;0;0;0;0.02317510076130766;0.013058658646786883;0.008314568240815846;0.05676717160278973;0.029833451518600642
10;25189;166;378;;1;1;1;0.9748096730855352;0.9860009024817398;0.9911816252208948;0.06170344739433666;0.032434100444294844
3;25231;181;439;;730;730;581;511.57142857142856;498.75;498.75;92.99594022299675;93.36989611218382
11;25189;166;378;"{""percentile"": ""p50"", ""proxy_name"": ""ZYTE"", ""spider_name"": ""pdp_shopee_com_br""}";23.793;23.982;24.037000000000003;20.605428571428572;15.766266666666667;13.817607142857144;5.176828092764991;4.703755773993538
6;25189;166;378;"{""percentile"": ""p95"", ""proxy_name"": ""ZYTE"", ""spider_name"": ""pdp_shopee_com_br""}";49.448;52.3;48.397;49.73428571428571;43.4656;38.88596428571429;6.235980933588687;8.960680205694459
4;25189;166;378;;160;143;142.33333333333334;136.71428571428572;131.13333333333333;124.03448275862068;6.691450530645925;10.236792192265787
29;25189;166;378;;100;100;100;100;100;100;0;0
27;25189;166;378;;100;100;100;100;100;100;0;0
31;25189;166;378;;100;100;100;100;100;100;0;0
34;25189;166;378;;21;20;20;19.857142857142858;18.933333333333334;19.071428571428573;0.3499271061118826;1.6019758208575574
7;25234;181;438;;0;0;0;0;0;0;0;0
35;25234;181;438;;1;1;1;1;1;1;0;0
36;25234;181;438;;1;1;1;1;1;1;0;0
5;25234;181;438;;0;0;0;0;0;0;0;0
14;25234;181;438;;0;0;0;0;0;0;0;0
10;25234;181;438;;1;1;1;1;1;1;0;0
11;25234;181;438;"{""percentile"": ""p50"", ""proxy_name"": ""ZYTE_PROXY_MODE"", ""spider_name"": ""pdp_drogariaspacheco_com_br""}";1.209373950958252;1.224122524261475;1.2123862902323406;1.2810572215488978;1.3064204533894856;1.299061381816864;0.09815440357797836;0.09543515686671061
3;25243;147;321;;306;309;309.3333333333333;310.2857142857143;308.4;294.6551724137931;1.2777531299998799;23.017648194777617
11;25234;181;438;"{""percentile"": ""p50"", ""proxy_name"": ""ZYTE_PROXY_MODE"", ""spider_name"": ""plp_drogariaspacheco_com_br""}";1.998055934906006;1.990681886672974;1.9634776910146081;1.9281583172934398;1.9594236056009928;1.9478535532951355;0.26395133441301777;0.1880540136452204
6;25234;181;438;"{""percentile"": ""p95"", ""proxy_name"": ""ZYTE_PROXY_MODE"", ""spider_name"": ""pdp_drogariaspacheco_com_br""}";1.39210033416748;1.597092866897583;1.6898802916208904;2.0684490544455394;3.456916538874309;3.129749095439911;0.5056757842970443;2.950272042453794
6;25234;181;438;"{""percentile"": ""p95"", ""proxy_name"": ""ZYTE_PROXY_MODE"", ""spider_name"": ""plp_drogariaspacheco_com_br""}";3.739212989807129;4.089173078536987;3.5571767489115396;3.2386134692600796;4.599415143330892;4.375123143196106;0.583425387321299;2.728856165938452
4;25234;181;438;;31;31;31;30.428571428571427;30.2;30.103448275862068;0.4948716593053935;0.3045434781492361
29;25234;181;438;;100;100;100;100;100;100;0;0
27;25234;181;438;;100;100;100;100;100;100;0;0
31;25234;181;438;;100;100;100;100;100;100;0;0
18;25231;181;439;;100;100;100;100;100;100;0;0
19;25231;181;439;;6;10;10;6.666666666666667;6.666666666666667;6.666666666666667;4.068851871911234;4.068851871911234
15;25231;181;439;;0;;;;;;;
3;25241;148;328;;85;86;86.33333333333333;86.71428571428571;86.86666666666666;87.20689655172414;0.45175395145262565;0.8460582169920895
15;25243;147;321;;0;;;;;;;
18;25241;148;328;;85.92;85.92;85.92;85.92;85.92;84.7751724137931;0;1.3788016303263952
19;25241;148;328;;4;4;4;4;4;4;0;0
9;25241;148;328;;0;0;0;0;0;0;0;0
20;25241;148;328;;0;0;0;0;0;0;0;0
8;25241;148;328;;0;0;0;0;0;0;0;0
15;25241;148;328;;0;;;;;;;
7;25241;148;328;;0;0;0;0;0;0;0;0
5;25241;148;328;;0;0;0;0;0;0;0;0
21;25241;148;328;;0;;;;;;;
4;25241;148;328;;71;71;71;71;71;72.3103448275862;0;1.704020565600805
29;25241;148;328;;100;100;100;100;100;100;0;0
27;25241;148;328;;100;100;100;100;100;100;0;0
31;25241;148;328;;100;100;100;100;100;100;0;0
26;25241;148;328;;0;0;0;0;0;0;0;0
2;25241;148;328;;71;71;71;71;71;72.3103448275862;0;1.704020565600805
32;25241;148;328;;100;100;100;100;100;100;0;0
28;25241;148;328;;100;100;100;100;100;100;0;0
34;25234;181;438;;1;1;1;1;1;1;0;0
26;25234;181;438;;0;0;0;0;0;0;0;0
2;25234;181;438;;31;31;31;30.428571428571427;30.2;30.103448275862068;0.4948716593053935;0.3045434781492361
32;25234;181;438;;100;100;100;100;100;100;0;0
28;25234;181;438;;100;100;100;100;100;100;0;0
30;25234;181;438;;100;100;100;100;100;100;0;0
12;25234;181;438;;0;0;0;0;0;0;0;0
2;25225;181;432;;87;81;81.66666666666667;80.85714285714286;81.66666666666667;83.44827586206897;2.231499907401901;3.4897505779516553
32;25225;181;432;;100;100;100;100;100;100;0;0
28;25225;181;432;;100;100;100;100;100;100;0;0
30;25225;181;432;;100;100;100;100;100;100;0;0
12;25225;181;432;;0;0;0;0;0;0;0;0
16;25221;181;435;;0;0;0;0;0;0.3263157894736842;0;1.3844406452705036
3;25240;147;324;;88;92;113.33333333333333;98.85714285714286;93.53333333333333;109.03448275862068;25.447023802562125;111.89480366308986
13;25221;181;435;"{""proxy_name"": ""DEFAULT"", ""spider_name"": ""pdp_drogariasaopaulo_com_br""}";0;0;0;0;0;0;0;0
